datetime,open,high,low,close
2025-08-16 12:50:00,1192.01,1194.51,1189.31,1190.1
2025-08-16 12:55:00,1191.18,1191.23,1187.77,1188.66
2025-08-16 13:00:00,1188.65,1195.04,1188.58,1192.75
2025-08-16 13:05:00,1192.89,1193.13,1182.78,1186.3
2025-08-16 13:10:00,1186.48,1189.01,1185.29,1187.21
2025-08-16 13:50:00,1179.69,1181.69,1178.75,1178.88
2025-08-16 13:55:00,1178.74,1183.58,1177.39,1177.83
2025-08-16 14:00:00,1178.13,1180.69,1177.68,1180.69
2025-08-16 14:05:00,1182.54,1184.54,1182.54,1182.87
2025-08-16 14:10:00,1182.56,1182.88,1178.28,1178.55
2025-08-16 14:15:00,1178.52,1179.51,1174.06,1174.89
2025-08-16 14:20:00,1175.39,1176.66,1173.02,1173.34
2025-08-16 14:25:00,1173.16,1174.26,1171.08,1172.26
2025-08-16 14:30:00,1172.56,1174.52,1171.34,1172.09
2025-08-16 14:35:00,1172.36,1172.49,1165.48,1166.89
2025-08-16 14:40:00,1166.63,1172.11,1166.4,1172.11
2025-08-16 14:45:00,1172.11,1173.34,1170.29,1170.49
2025-08-16 14:50:00,1171.14,1172.48,1165.22,1167.98
2025-08-16 14:55:00,1168.47,1172.27,1165.73,1171.57
2025-08-16 15:00:00,1171.66,1172.38,1165.51,1166.33
2025-08-16 15:05:00,1166.39,1168.68,1162.86,1163.95
2025-08-16 15:10:00,1163.84,1164.96,1162.07,1163.27
2025-08-16 15:15:00,1163.21,1163.21,1158.44,1160.44
2025-08-16 15:20:00,1160.62,1162.67,1158.96,1159.54
2025-08-16 15:25:00,1159.29,1161.71,1156.9,1160.42
2025-08-16 15:30:00,1160.1,1162.36,1158.33,1162.36
2025-08-16 15:35:00,1162.41,1166.5,1161.73,1166.47
2025-08-16 15:40:00,1166.55,1170.76,1166.55,1169.44
2025-08-16 15:45:00,1169.71,1170.12,1167.24,1168.71
2025-08-16 15:50:00,1168.36,1170.7,1166.93,1169.76
2025-08-16 15:55:00,1170.19,1172.76,1169.78,1171.86
2025-08-16 16:00:00,1171.34,1174.56,1169.97,1173.41
2025-08-16 16:05:00,1173.39,1174.8,1166.12,1166.66
2025-08-16 16:10:00,1166.38,1171.31,1164.24,1170.55
2025-08-16 16:15:00,1170.82,1173.34,1167.87,1168.08
2025-08-16 16:20:00,1167.55,1168.38,1166.41,1168.38
2025-08-16 16:25:00,1168.2,1169.76,1166.88,1167.69
2025-08-16 16:30:00,1167.93,1170.26,1165.61,1166.54
2025-08-16 16:35:00,1166.82,1169.64,1165.77,1166.4
2025-08-16 16:40:00,1165.17,1165.17,1162.34,1162.34
2025-08-16 16:45:00,1162.71,1164.76,1159.62,1162.27
2025-08-16 16:50:00,1162.63,1162.89,1157.82,1158.55
2025-08-16 16:55:00,1158.63,1162.73,1157.01,1160.65
2025-08-16 17:00:00,1160.46,1166.07,1159.5,1163.77
2025-08-16 17:05:00,1164.25,1167.93,1163.09,1167.35
2025-08-16 17:10:00,1167.45,1169.01,1165.09,1167.68
2025-08-16 17:15:00,1168.05,1171.39,1163.36,1163.36
2025-08-16 17:20:00,1164.07,1172.01,1162.75,1171.84
2025-08-16 17:25:00,1171.61,1174.95,1170.89,1172.15
2025-08-16 17:30:00,1172.31,1178.42,1171.86,1176.57
2025-08-16 17:35:00,1176.69,1178.64,1174.25,1176.91
2025-08-16 17:40:00,1171.68,1172.58,1171.17,1171.66
2025-08-16 17:45:00,1171.66,1172.82,1168.77,1170.9
2025-08-16 17:50:00,1171.16,1176.8,1171.05,1173.87
2025-08-16 17:55:00,1174.12,1178.63,1174.01,1174.72
2025-08-16 18:00:00,1174.52,1174.96,1170.24,1171.77
2025-08-16 18:05:00,1171.35,1176.52,1170.49,1175.56
2025-08-16 18:10:00,1175.42,1175.54,1168.67,1170.85
2025-08-16 18:15:00,1171.17,1171.85,1168.31,1170.47
2025-08-16 18:20:00,1170.99,1170.99,1162.32,1163.91
2025-08-16 18:25:00,1163.93,1164.43,1159.35,1162.16
2025-08-16 18:30:00,1162.38,1167.25,1162.25,1166.23
2025-08-16 18:35:00,1166.05,1168.65,1164.4,1168.39
2025-08-16 18:40:00,1165.16,1167.15,1164.09,1167.15
2025-08-16 18:45:00,1166.82,1171.32,1166.03,1170.86
2025-08-16 18:50:00,1170.62,1174.0,1167.41,1172.48
2025-08-16 18:55:00,1172.31,1172.35,1168.47,1169.88
2025-08-16 19:00:00,1169.89,1172.96,1168.68,1169.77
2025-08-16 19:05:00,1170.14,1170.19,1163.95,1167.78
2025-08-16 19:10:00,1167.65,1168.18,1164.55,1167.28
2025-08-16 19:15:00,1167.18,1172.68,1166.34,1169.28
2025-08-16 19:20:00,1169.33,1177.49,1169.31,1176.34
2025-08-16 19:25:00,1176.11,1178.22,1167.29,1167.45
2025-08-16 19:30:00,1167.3,1171.3,1166.59,1169.76
2025-08-16 19:35:00,1169.68,1173.53,1168.59,1169.93
2025-08-16 19:40:00,1169.83,1170.44,1166.99,1168.7
2025-08-16 19:45:00,1168.64,1170.35,1165.08,1165.96
2025-08-16 19:50:00,1166.53,1167.93,1164.57,1166.68
2025-08-16 19:55:00,1166.63,1173.22,1164.74,1172.22
2025-08-16 20:00:00,1171.72,1174.71,1168.65,1173.68
2025-08-16 20:05:00,1173.58,1176.1,1170.76,1174.98
2025-08-16 20:10:00,1175.21,1175.21,1172.1,1174.03
2025-08-16 20:25:00,1177.97,1178.22,1176.7,1176.7
2025-08-16 20:30:00,1176.42,1177.53,1172.21,1172.52
2025-08-16 20:35:00,1173.14,1173.14,1168.2,1169.51
2025-08-16 20:40:00,1169.54,1170.63,1166.45,1166.83
2025-08-16 20:45:00,1166.63,1168.07,1163.52,1166.07
2025-08-16 20:50:00,1165.86,1167.87,1161.48,1161.48
2025-08-16 20:55:00,1161.66,1166.2,1161.52,1161.8
2025-08-16 21:00:00,1161.72,1163.54,1159.17,1162.7
2025-08-16 21:05:00,1161.72,1162.99,1155.15,1157.17
2025-08-16 21:10:00,1157.23,1159.75,1155.3,1157.41
2025-08-16 21:15:00,1157.64,1160.74,1155.49,1158.71
2025-08-16 21:20:00,1159.32,1159.54,1154.95,1157.58
2025-08-16 21:25:00,1157.56,1159.83,1155.59,1156.58
2025-08-16 21:30:00,1156.34,1159.02,1150.82,1152.84
2025-08-16 21:35:00,1152.74,1155.87,1149.95,1153.41
2025-08-16 21:40:00,1153.62,1154.75,1150.03,1152.45
2025-08-16 21:45:00,1152.54,1156.3,1150.99,1154.43
2025-08-16 21:50:00,1154.77,1156.08,1150.43,1152.81
2025-08-16 21:55:00,1152.96,1153.64,1149.59,1150.32
2025-08-16 22:00:00,1149.93,1150.95,1144.53,1145.82
2025-08-16 22:05:00,1145.72,1147.85,1141.81,1141.81
2025-08-16 22:25:00,1135.62,1137.06,1131.05,1131.26
2025-08-16 22:30:00,1131.59,1138.03,1130.89,1132.52
2025-08-16 22:35:00,1132.31,1136.32,1132.31,1136.16
2025-08-16 22:40:00,1136.14,1136.35,1132.29,1133.63
2025-08-16 22:45:00,1133.45,1136.25,1130.3,1131.37
2025-08-16 23:00:00,1129.92,1131.77,1129.66,1130.45
